ACC_X,ACC_Y,ACC_Z,DATE,UNIX_TIMESTAMP,norm,Line_Number
7.619839668273926,10.429381370544434,-2.037910223007202,2023-10-20T12:17:33.195095Z,1697804253195,13.076200916913804,5997
7.286224842071533,10.403482437133787,-1.8583998680114744,2023-10-20T12:17:33.215376Z,1697804253215,12.836478073770724,5998
7.090145587921143,10.369873046875,-1.774830341339111,2023-10-20T12:17:33.235704Z,1697804253235,12.686782657819917,5999
7.00486946105957,10.359322547912598,-1.7594120502471924,2023-10-20T12:17:33.255767Z,1697804253255,12.62851101993938,6000
6.975419998168945,10.336896896362305,-1.761706829071045,2023-10-20T12:17:33.276073Z,1697804253276,12.594107056416323,6001
6.980392456054688,10.27699089050293,-1.7511205673217771,2023-10-20T12:17:33.298986Z,1697804253298,12.54626812424008,6002
7.024142742156982,10.163199424743652,-1.731180191040039,2023-10-20T12:17:33.316917Z,1697804253316,12.475022591689193,6003
7.068059921264648,9.98824977874756,-1.7033486366271973,2023-10-20T12:17:33.337457Z,1697804253337,12.35410867975258,6004
7.077722549438477,9.703620910644531,-1.681610345840454,2023-10-20T12:17:33.357498Z,1697804253357,12.127746230011796,6005
7.020695686340332,9.329580307006836,-1.674506664276123,2023-10-20T12:17:33.377727Z,1697804253377,11.795558875856312,6006
6.887434959411621,8.872337341308594,-1.672752857208252,2023-10-20T12:17:33.398706Z,1697804253398,11.355757673506536,6007
6.640744209289551,8.331470489501953,-1.6862947940826416,2023-10-20T12:17:33.418439Z,1697804253418,10.786865823917754,6008
6.250659465789795,7.659162044525146,-1.6972754001617432,2023-10-20T12:17:33.438345Z,1697804253438,10.030665519573285,6009
5.767782688140869,6.859965324401856,-1.7061476707458496,2023-10-20T12:17:33.458584Z,1697804253458,9.123452266768586,6010
5.261553764343262,6.007105350494385,-1.7203326225280762,2023-10-20T12:17:33.481965Z,1697804253481,8.168770228078847,6011
4.771523475646973,5.174609184265137,-1.7342259883880615,2023-10-20T12:17:33.499271Z,1697804253499,7.24924522052688,6012
