GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP,Line_Number
0.0985738635063171,0.5249291062355042,0.4191717207431793,2023-10-20T11:45:24.011713Z,1697802324011,162
0.0756930187344551,0.5071033239364624,0.4153138995170593,2023-10-20T11:45:24.022644Z,1697802324022,163
0.0517479516565799,0.4899426698684692,0.4048046767711639,2023-10-20T11:45:24.031761Z,1697802324031,164
0.0275368280708789,0.473846286535263,0.3877770602703094,2023-10-20T11:45:24.043049Z,1697802324042,165
0.0038578163366764,0.4586810767650604,0.3644971251487732,2023-10-20T11:45:24.053600Z,1697802324053,166
-0.0195551384240388,0.4451121985912323,0.3350979089736938,2023-10-20T11:45:24.063289Z,1697802324063,167
-0.0407066158950328,0.4343369305133819,0.3007766604423523,2023-10-20T11:45:24.072477Z,1697802324072,168
-0.0570690780878067,0.4276854991912842,0.2637948393821716,2023-10-20T11:45:24.085406Z,1697802324085,169
-0.0686425268650055,0.4243597984313965,0.2277441918849945,2023-10-20T11:45:24.092890Z,1697802324092,170
-0.0787526667118072,0.4213001430034637,0.1959504634141922,2023-10-20T11:45:24.102895Z,1697802324102,171
-0.0920554846525192,0.4149148166179657,0.1716063171625137,2023-10-20T11:45:24.113065Z,1697802324113,172
-0.1106794252991676,0.4024101495742798,0.1564411073923111,2023-10-20T11:45:24.124686Z,1697802324124,173
-0.1336932927370071,0.3823229074478149,0.1507208943367004,2023-10-20T11:45:24.137211Z,1697802324137,174
-0.1592347025871276,0.3538548946380615,0.1529823690652847,2023-10-20T11:45:24.144275Z,1697802324144,175
-0.1850421577692031,0.3180703222751617,0.1604319512844085,2023-10-20T11:45:24.153604Z,1697802324153,176
-0.2095193415880203,0.277762770652771,0.1709411740303039,2023-10-20T11:45:24.164509Z,1697802324164,177
-0.2317350357770919,0.2371891885995865,0.1831797659397125,2023-10-20T11:45:24.173796Z,1697802324173,178
-0.2508910894393921,0.1999413073062896,0.1975468099117279,2023-10-20T11:45:24.186705Z,1697802324186,179
